:Lemon41625, 2021:R2,C2,S1,9,B0-2,NN:R2,C2,S1,9,B0-2,12,NN:8:1:-1:7:7:3b2o2b$7b$7b$3bo3b$5b2o$o3b2ob$2bo!
:Lemon41625, 2021:R2,C2,S1,9,B0-2,NN:R2,C2,S1,9,B0-2,9,11-12,NN:4:-2:0:6:9:bo4b$4bob$6b$b3obo$ob2o2b$b3obo$6b$4bob$bo!
:Lemon41625, 2021:R2,C2,S1,B3,6,NN:R2,C2,S0-1,5-12,B3,6-12,NN:2:-1:0:3:6:o2b$o2b$b2o$b2o$o2b$o!
:Lemon41625, 2021:R2,C2,S0,2-4,B4,7,NN:R2,C2,S0,2-4,8,10-12,B4-5,7-12,NN:6:-1:0:3:3:b2o$3o$b2o!
:Lemon41625, 2021:R2,C2,S0,2-4,B4,6,NN:R2,C2,S0,2-4,9-12,B4,6-7,9-12,NN:10:-1:1:5:4:2bo2b$o4b$2ob2o$b3o!
:Lemon41625, 2021:R2,C2,S2-3,B4-6,NN:R2,C2,S0,2-3,6-12,B4-7,9-12,NN:2:0:1:6:4:b4ob$2b2o2b$o4bo$o4bo!
:Lemon41625, 2021:R2,C2,S2-3,B4-6,NN:R2,C2,S2-3,10-12,B4-6,9-12,NN:3:0:1:11:19:4bobo4b$bo2bobo2bob$2obobobob2o$obobobobobo$o2bobobo2bo$bo2bobo2bob$2bo2bo2bo2b$b2obobob2ob$bobobobobob$b2obobob2ob$bobobobobob$2bob3obo2b$bob5obob$5bo5b$4bobo4b$5bo5b$b3obob3ob$2bo5bo2b$5bo!
:Lemon41625, 2021:R2,C2,S2-3,B3,NN:R2,C2,S2-3,6-12,B3,8-12,NN:2:0:1:6:5:6o$2o2b2o$o4bo$2b2o2b$bo2bo!
:Lemon41625, 2021:R2,C2,S,B2,NN:R2,C2,S2-12,B2,4-12,NN:1:0:1:4:3:b2ob$4b$o2bo!
:Lemon41625, 2021:R2,C2,S2-3,B4-6,8,NN:R2,C2,S2-3,9-12,B4-6,8-12,NN:2:0:1:13:23:5b3o5b$4bo3bo4b$3b2o3b2o3b$b2ob2ob2ob2ob$4obobob4o$2bo2bobo2bo2b$2ob2o3b2ob2o$obo7bobo$bo4bo4bob$13b$b2o7b2ob$b4o3b4ob$bo4bo4bob$2o3bobo3b2o$2o9b2o$2ob2o3b2ob2o$2o9b2o$bo2bo3bo2bob$2o9b2o$bo2bo3bo2bob$2obo5bob2o$bo9bob$2bo7bo!
:Lemon41625, 2021:R2,C2,S2-3,B4-6,NN:R2,C2,S2-3,9,11-12,B4-6,10-12,NN:4:0:1:5:21:b3ob$2bo2b$5b$b4o$bob2o$b2o2b$5b$5b$b4o$o3bo$4bo$4bo$4bo$2b3o$2b2ob$2b2ob$3bob$3bob$5b$3bob$3bo!
:Saka, 2017:R2,C2,S3-5,B4,NN:R2,C2,S0,3-5,8-12,B4,7,9-12,NN:3:1:0:4:4:bo2b$2o2b$o2bo$3o!
:Lemon41625, 2021:R2,C2,S2-4,B4,8,10,NN:R2,C2,S1-4,11-12,B4,8-12,NN:3:-1:-1:7:7:3bobob$2bo2b2o$bo2b2ob$o3bo2b$2b2o3b$3o4b$bo!
:Lemon41625, 2021:R2,C2,S2-4,B4,8-9,NN:R2,C2,S2-4,8-12,B4,8-12,NN:3:1:0:4:5:bobo$2obo$o2bo$4b$b3o!
:Lemon41625, 2021:R2,C2,S2-4,B4,8-10,NN:R2,C2,S0,2-4,10-12,B4,8-12,NN:2:0:1:20:48:9b2o9b$8bo2bo8b$7b6o7b$6bob4obo6b$6b3o2b3o6b$5bo3b2o3bo5b$7b2o2b2o7b$6b3o2b3o6b$3b2obo2b2o2bob2o3b$2bo4b2o2b2o4bo2b$2bo2bob2o2b2obo2bo2b$5bob6obo5b$3bo2bo6bo2bo3b$3bo2bo6bo2bo3b$4bo10bo4b$bo3bo8bo3bob$b3ob2o6b2ob3ob$bob2obo6bob2obob$3obo10bob3o$bo4b3o2b3o4bob$2bo4bo4bo4bo2b$6bo2b2o2bo6b$6bo2b2o2bo6b$5b4o2b4o5b$6b8o6b$9b2o9b$5b4o2b4o5b$5bo3b2o3bo5b$5b3ob2ob3o5b$6b3o2b3o6b$8bo2bo8b$7b2o2b2o7b$7bo4bo7b$5b2o2b2o2b2o5b$3b4o6b4o3b$3bo2bo6bo2bo3b$4bobo6bobo4b$2bo14bo2b$4bo10bo4b$2b3obo6bob3o2b$bobo2bob4obo2bobob$bobo12bobob$4bobobo2bobobo4b$bo16bob$4bo4b2o4bo4b$bo2bo10bo2bob$2bo14bo2b$2bo14bo!
:Lemon41625, 2021:R2,C2,S0,2-4,B4,7,NN:R2,C2,S0,2-4,8,10-12,B4-5,7-12,NN:6:-1:0:3:3:b2o$3o$b2o!
